hhid,animalid,altitude,goats,sheep,cattle,donkeys,species,breed,sex,age,bdt,bsr,avaq,area,pathogen,landuse,result
0,55415,104,,,,,Goat,Cross,Male,Adult,BDT071233,BSR014030,AVAQ55415,Hola,rvf,Irrigated,negative
0,55387,103.7,,,,,Goat,"Galla Goat, Cross",Female,Adult,BDT071225,BSR014029,AVAQ55387,Hola,qfever,Irrigated,negative
0,55127,103.7,,,,,Goat,Cross,Female,Adult,BDT071253,BSR014033,AVAQ55127,Hola,brucella,Irrigated,negative
0,55418,105.8,,,,,Goat,Cross,Female,Weaner,BDT070477,BSR013528,AVAQ55418,Hola,qfever,Irrigated,negative
0,55415,104,,,,,Goat,Cross,Male,Adult,BDT071233,BSR014030,AVAQ55415,Hola,qfever,Irrigated,negative
0,55127,103.7,,,,,Goat,Cross,Female,Adult,BDT071253,BSR014033,AVAQ55127,Hola,qfever,Irrigated,negative
0,55387,103.7,,,,,Goat,"Galla Goat, Cross",Female,Adult,BDT071225,BSR014029,AVAQ55387,Hola,brucella,Irrigated,negative
0,55424,105.2,,,,,Sheep,Black Head Persian,Female,Adult,BDT070500,BSR013533,AVAQ55424,Hola,brucella,Irrigated,negative
0,55431,104.6,,,,,Goat,Cross,Female,Adult,BDT070463,BSR013552,AVAQ55431,Hola,qfever,Irrigated,negative
0,55658,104.1,,,,,Goat,"Galla Goat, Cross",Female,Adult,BDT070480,BSR014025,AVAQ55658,Hola,qfever,Irrigated,negative
0,54544,105.3,,,,,Sheep,Cross,Female,Adult,BDT070498,BSR013532,AVAQ54544,Hola,brucella,Irrigated,negative
0,55387,103.7,,,,,Goat,"Galla Goat, Cross",Female,Adult,BDT071225,BSR014029,AVAQ55387,Hola,rvf,Irrigated,negative
0,55431,104.6,,,,,Goat,Cross,Female,Adult,BDT070463,BSR013552,AVAQ55431,Hola,rvf,Irrigated,negative
0,55658,104.1,,,,,Goat,"Galla Goat, Cross",Female,Adult,BDT070480,BSR014025,AVAQ55658,Hola,rvf,Irrigated,positive
0,55408,104.9,,,,,Goat,Cross,Female,Weaner,BDT070475,BSR013525,AVAQ55408,Hola,brucella,Irrigated,negative
0,55408,104.9,,,,,Goat,Cross,Female,Weaner,BDT070475,BSR013525,AVAQ55408,Hola,rvf,Irrigated,negative
0,54544,105.3,,,,,Sheep,Cross,Female,Adult,BDT070498,BSR013532,AVAQ54544,Hola,qfever,Irrigated,negative
0,54544,105.3,,,,,Sheep,Cross,Female,Adult,BDT070498,BSR013532,AVAQ54544,Hola,rvf,Irrigated,negative
0,55424,105.2,,,,,Sheep,Black Head Persian,Female,Adult,BDT070500,BSR013533,AVAQ55424,Hola,rvf,Irrigated,negative
0,54016,105.5,,,,,Sheep,Black Head Persian,Male,Weaner,BDT070481,BSR013534,AVAQ54016,Hola,rvf,Irrigated,negative
0,55408,104.9,,,,,Goat,Cross,Female,Weaner,BDT070475,BSR013525,AVAQ55408,Hola,qfever,Irrigated,negative
0,53928,105.1,,,,,Sheep,Black Head Persian,Female,Adult,BDT070494,BSR013526,AVAQ53928,Hola,brucella,Irrigated,negative
